Country,County,Latitude,Longitude
RoI,Dublin,53.375177,-6.364012
RoI,Dublin,53.282888,-6.31908
RoI,Dublin,53.273049,-6.31502
RoI,Dublin,53.412778,-6.216111
RoI,Dublin,53.395465,-6.214452
RoI,Dublin,53.280332,-6.213815
RoI,Dublin,53.277164,-6.203613
RoI,Dublin,53.260088,-6.149376
RoI,Dublin,53.252775,-6.169813
RoI,Dublin,53.236875,-6.11792
RoI,Dublin,53.3145,-6.39389
RoI,Dublin,53.285621,-6.369887
RoI,Dublin,53.281093,-6.469944
RoI,Dublin,53.428658,-6.234603
RoI,Dublin,53.2938,-6.1348
RoI,Dublin,53.282568,-6.143881
RoI,Dublin,53.349266,-6.452681
RoI,Dublin,53.520646,-6.144629
RoI,Dublin,53.451478,-6.156156
RoI,Dublin,53.451232,-6.15157
RoI,Dublin,53.298772,-6.496403
RoI,Dublin,53.283222,-6.421705
RoI,Dublin,53.578784,-6.104879
RoI,Dublin,53.295343,-6.203373
RoI,Dublin,53.290457,-6.199702
RoI,Dublin,53.45423,-6.223713
RoI,Dublin,53.453917,-6.221329
RoI,Dublin,53.445169,-6.21589
RoI,Galway,53.29953,-8.75104
RoI,Galway,53.201772,-8.584795
RoI,Galway,53.336624,-8.239191
RoI,Galway,53.330623,-8.225283
RoI,Galway,53.329333,-8.220936
RoI,Galway,53.328467,-8.184483
RoI,Galway,53.323323,-8.224896
RoI,Galway,53.488862,-10.019564
RoI,Galway,53.292256,-9.019465
RoI,Galway,53.282203,-9.065258
RoI,Galway,53.288142,-9.047838
RoI,Galway,53.2802,-9.0496
RoI,Galway,53.278213,-9.050699
RoI,Galway,53.276523,-9.052773
RoI,Galway,53.066582,-8.814919
RoI,Galway,53.26434,-8.606133
RoI,Galway,53.197768,-8.570838
RoI,Galway,53.304365,-8.942545
RoI,Galway,53.275327,-8.947087
RoI,Galway,53.092133,-8.221551
RoI,Galway,53.51418,-8.852424
RoI,Galway,53.5081,-8.87159
RoI,Kerry,51.946705,-10.227204
RoI,Kerry,51.940294,-10.237755
RoI,Kerry,52.230261,-9.465842
RoI,Kerry,52.139518,-10.278791
